79,158
91,207
91,161
89,167
79,157
91,211
89,193
77,185
87,166
83,202
79,202
91,167
82,180
89,203
85,195
90,205
90,191
80,193
89,181
80,157
87,165
79,193
87,162
86,194
90,192
91,162
91,188
90,203
90,158
78,202
80,202
91,212
88,167
88,181
82,155
83,194
82,202
81,202
77,189
91,160
91,164
82,194
81,180
78,183
84,155
91,163
80,156
90,204
91,209
88,193
94,168
90,167
90,160
84,202
86,155
90,185
88,194
83,179
91,185
90,183
86,180
82,156
91,210
88,202
78,184
86,195
81,181
88,156
89,182
90,159
87,161
79,182
91,191
89,157
86,202
80,181
90,184
91,190
87,167
92,168
84,179
77,190
91,208
84,195
86,179
87,163
89,202
91,189
78,160
83,155
87,194
91,187
85,202
87,180
81,193
77,188
87,202
81,156
84,194
79,159
77,186
77,187
91,213
78,190
85,155
87,164
87,155
78,192
91,186
78,191
78,161
77,202
83,180
78,159
88,180
79,192
90,206
85,179
93,168
