63,122
61,130
59,127
63,154
68,148
59,125
59,147
67,144
74,133
62,155
61,152
64,154
69,148
61,122
69,106
74,113
74,112
67,130
69,105
72,128
61,157
59,129
75,131
70,106
61,155
68,104
65,137
71,129
75,127
70,107
61,156
64,138
70,135
61,98
63,99
72,135
73,134
61,97
65,130
66,103
65,102
73,112
71,109
68,136
68,146
59,126
60,156
67,145
68,151
64,131
76,130
60,150
76,127
66,152
61,153
68,147
61,151
71,108
66,141
69,129
69,149
65,140
66,130
67,103
60,129
64,100
63,131
60,123
62,131
76,129
61,154
66,137
66,142
76,128
58,96
74,128
61,123
68,130
75,132
62,99
65,153
77,127
66,143
62,122
59,96
60,157
65,139
67,137
60,130
60,124
64,101
60,96
59,128
69,136
72,110
65,101
69,150
62,98
69,151
67,152
73,111
66,102
77,128
60,97
70,108
